identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
AWS Artifact,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
AWS Redshift,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS IoT Greengrass,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS CodeArtifact,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
AWS Trusted Advisor,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Relational Database Service (RDS),OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Q Business,OTHER,"",false,true,,,,critical,,2025-07-09 13:37:02 UTC,2025-07-09 13:37:02 UTC
AWS re:Post Private,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon CodeGuru Reviewer,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
https://github.com/aws/aws-cdk,SOURCE_CODE,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS Console Mobile App,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS SDK for PHP,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
https://github.com/kubernetes-sigs/aws-encryption-provider,SOURCE_CODE,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
Amazon SimpleDB,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Deadline Cloud,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Toolkit for Visual Studio,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Partner central account management,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Elastic Block Store,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Quantum Ledger Database (Amazon QLDB),OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Data Exchange,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
forums.newworld.com,URL,"",false,true,,,,critical,,2024-06-18 13:31:56 UTC,2024-06-18 13:31:56 UTC
AWS Systems Manager,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Elemental MediaStore,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
AWS Glue DataBrew,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
AWS Support Recommendations,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Simple Storage Service (Amazon S3),OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
*.lambda-url.*.on.aws,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
AWS Config,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
AWS DataSync,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
https://github.com/amazon-research/,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS HealthOmics,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:22 UTC,2024-09-05 12:30:22 UTC
AWS Cloudfront2,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Forecast,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS Toolkit for JetBrains,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Q in Supply Chain,OTHER,"",false,true,,,,critical,,2025-07-09 13:37:02 UTC,2025-07-09 13:37:02 UTC
AWS SimSpace Weaver,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Telco Network Builder,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Data Lifecycle Manager,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS Secrets Manager,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon SES,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Health APIs and Notifications,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS service providing managed private networks,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Shield Advanced,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Tools for PowerShell,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Elemental MediaLive,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
Amazon Honeycode,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Migration Hub,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon EKS Auth,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Migration Evaluator,OTHER,"",false,true,,,,critical,,2024-09-05 12:34:34 UTC,2024-09-05 12:34:34 UTC
AWS SDK for Python (Boto3),OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Mobile Hub,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Resource Access Manager (RAM),OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Database Migration Service (AWS DMS),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
AWS Ground Station,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
Amazon SQS,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Microservice Extractor for .NET,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon S3 Glacier,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon CloudWatch Evidently,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
AWS Customer Verification Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Signer,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS App2Container,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
AWS Launch Wizard,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon FinSpace,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Amazon Message Delivery Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
https://github.com/kubernetes-sigs/aws-efs-csi-driver,SOURCE_CODE,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS B2B Data Interchange,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
AWS IAM Access Analyzer,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS CodeCommit,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
AWS AppConfig,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
AWS - Cloud Shell,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Cloudfront,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS IoT Device Management,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Security Token Service (AWS STS),OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Rekognition,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Lookout for Metrics,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Amazon Cognito Sync,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Lookout for Vision,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
https://*.amazoncognito.com/*,OTHER,"",false,true,high,high,high,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
https://*.aws.training/*,OTHER,"",false,true,high,high,high,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS Application Discovery Service,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
Amazon DevOps Guru,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Amazon Bedrock,OTHER,"",false,true,not_defined,not_defined,not_defined,critical,,2024-09-04 21:50:12 UTC,2025-12-02 19:22:44 UTC
Blazegraph,OTHER,"",false,true,,,,critical,,2024-09-05 12:33:09 UTC,2024-09-05 12:33:09 UTC
Amazon ElastiCache,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS IoT SiteWise,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Consolidated Billing,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Blockchain Templates,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
Amazon Managed Workflows for Apache Airflow,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon EMR Serverless,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS Clean Rooms,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
AWS Step Functions,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Alexa For Business ,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:56 UTC,2024-06-18 13:31:56 UTC
AWS Directory Service for Microsoft Active Directory,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
Amazon FSx for NetApp ONTAP,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS Cost Explorer Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Organizations,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Managed Blockchain,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon WorkSpaces Application Manager (Amazon WAM),OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS GovCloud (US),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
Amazon Elastic Kubernetes Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Firewall Manager,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
AWS SDK for Go,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Managed Service for Prometheus,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Local Zones,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
NICE DCV,OTHER,"",false,true,,,,critical,,2024-09-05 12:34:34 UTC,2024-09-05 12:34:34 UTC
AWS Directory Service Data,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Health,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:22 UTC,2024-09-05 12:30:22 UTC
AWS IAM Identity Center,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:22 UTC,2024-09-05 12:30:22 UTC
AWS IoT Things Graph,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Elastic File System (Amazon EFS),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS Resilience Hub,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Diagnostic tools,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Ground Station,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:56 UTC,2024-06-18 13:31:56 UTC
Quivela,OTHER,"",false,true,,,,critical,,2024-09-05 12:34:35 UTC,2024-09-05 12:34:35 UTC
AWS Tax Settings,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Relational Database Service (Amazon RDS),OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Lookout for Equipment,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Amazon AppFlow,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:54 UTC,2024-09-05 12:30:54 UTC
Amazon GameLift,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Amazon Elastic Transcoder,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS Clean Rooms ML,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
AWS Schema Conversion Tool (AWS SCT),OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon EMR,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Amazon Lumberyard,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Tiros,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Nova,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Chatbot,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
AWS Savings Plans,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Database Migration Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon QLDB,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Detective,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS Security Token Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Management Console,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Signin,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
All API's called by the AWS CLI,API,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS CloudTrail,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
Amazon Relational Database Service (Amazon RDS) for Db2,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Trainium,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Transcribe,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Elastic Kubernetes Service (Amazon EKS),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Amazon Inspector Classic,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Amazon lookout,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Elastic Load Balancing,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS DeepLens,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
https://*.amazonaws.com/*,OTHER,"",false,false,,,,critical,,2024-06-18 13:31:56 UTC,2025-01-17 18:55:44 UTC
Amazon Nimble Studio,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS CloudWatch RUM,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Keyspaces (for Apache Cassandra),OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Control Catalog,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Identity Sync,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Snow Device Management,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Virtual Private Cloud (Amazon VPC),OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Application Cost Profiler Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Wavelength,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Mechanical Turk,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Amazon Message Gateway Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon Simple Email Service v2,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS HealthImaging,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:22 UTC,2024-09-05 12:30:22 UTC
AWS OpsWorks,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Elastic Container Service,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Certificate Manager,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Lake Formation,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Simple Workflow Service (Amazon SWF),OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
*.aws.dev,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
Amazon SageMaker Ground Truth,OTHER,"",false,true,,,,critical,,2025-07-09 13:36:31 UTC,2025-07-09 13:36:31 UTC
AWS Private Certificate Authority,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
https://*.aws.amazon.com/*,OTHER,"",false,true,high,high,high,critical,,2024-06-04 22:23:00 UTC,2024-06-04 22:23:00 UTC
AWS Proton,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Well-Architected Tool,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon GroundTruth Labeling,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
*.cloudendure.com,OTHER,"",false,true,,,,critical,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
Amazon Translate,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon CloudWatch RUM,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
AWS BugBust,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
FreeRTOS,OTHER,"",false,true,,,,critical,,2024-09-05 12:33:09 UTC,2024-09-05 12:33:09 UTC
AWS Cost and Usage Report,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Cloud Control API,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
Amazon Resource Group Tagging API,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Entity Resolution,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:21 UTC,2024-09-05 12:30:21 UTC
Amazon Elastic Container Registry (Amazon ECR),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Amazon Elastic File System,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon CloudWatch,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
Amazon Managed Workflows for Apache Airflow (Amazon MWAA),OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Amazon WorkSpaces Thin Client,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Elemental Appliances and Software,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
https://github.com/awslabs/*,WILDCARD,"",false,true,,,,none,,2024-10-01 19:18:22 UTC,2026-03-17 14:34:57 UTC
AWS CloudTrail Lake,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
Amazon Athena,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:54 UTC,2024-09-05 12:30:54 UTC
AWS Activate,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon Managed Grafana,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
Amazon Personalize,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon CloudWatch Application Insights,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
Amazon Aurora DSQL,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon S3,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Backup,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
Amazon Chime SDK,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
Amazon Corretto,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
Firecracker,OTHER,"",false,true,,,,critical,,2024-09-05 12:33:09 UTC,2024-09-05 12:33:09 UTC
AWS Security Hub,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS User Notifications Contacts,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon One Enterprise,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:01 UTC,2024-09-05 12:31:01 UTC
AWS Server Migration Service (AWS SMS),OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
Amazon Elastic Block Store (Amazon EBS),OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
AWS Migration Acceleration Program Credits,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS Serverless Application Model (AWS SAM),OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
*.sa.aws.dev,OTHER,"",false,true,none,none,none,none,,2024-06-18 13:31:55 UTC,2024-06-18 13:31:55 UTC
Amazon Silk,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Databases,OTHER,"",false,true,not_defined,not_defined,not_defined,critical,,2024-06-18 13:31:55 UTC,2025-09-16 14:59:38 UTC
Amazon Cognito User Pools,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS End User Messaging SMS and Voice V2,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
AWS IoT FleetWise,OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
Amazon AppStream,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:54 UTC,2024-09-05 12:30:54 UTC
Amazon Verified Permissions,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Amazon EC2 Auto Scaling,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:59 UTC,2024-09-05 12:30:59 UTC
Amazon SageMaker HyperPod,OTHER,"",false,true,,,,critical,,2025-07-09 13:36:31 UTC,2025-07-09 13:36:31 UTC
