identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
Amazon Macie,OTHER,"",false,true,,,,critical,,2024-09-05 12:31:00 UTC,2024-09-05 12:31:00 UTC
AWS Cloud WAN,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:20 UTC,2024-09-05 12:30:20 UTC
Amazon QuickSight,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
AWS Key Management Service (AWS KMS),OTHER,"",false,true,,,,critical,,2025-11-21 13:10:01 UTC,2025-11-21 13:10:01 UTC
https://github.com/aws-samples,URL,"",false,true,,,,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
AWS Backint Agent,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:19 UTC,2024-09-05 12:30:19 UTC
AWS Site-to-Site VPN,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
AWS Toolkit for Visual Studio Code,OTHER,"",false,true,,,,critical,,2025-11-21 13:11:40 UTC,2025-11-21 13:11:40 UTC
https://*.mturk.com/*,OTHER,"",false,true,high,high,high,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
Amazon Simple Queue Service (Amazon SQS),OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
Elastic Load Balancing (ELB),OTHER,"",false,true,,,,critical,,2024-09-05 12:33:09 UTC,2024-09-05 12:33:09 UTC
https://*.aws/*,OTHER,"",false,true,high,high,high,critical,,2024-06-18 13:31:57 UTC,2024-06-18 13:31:57 UTC
Amazon Cloud Directory,OTHER,"",false,true,,,,critical,,2024-09-05 12:30:55 UTC,2024-09-05 12:30:55 UTC
Amazon Timestream,OTHER,"",false,true,,,,critical,,2025-11-21 13:12:59 UTC,2025-11-21 13:12:59 UTC
